 market ,country_code,region,funding_rounds,founded_month,founded_quarter,founded_year,seed,venture,round_A,round_B, funding_total_usd 
 Software ,RUS,Moscow,1,1991-01,1991-Q1,1991,0,0,0,0," 20,00,00,000 "
 Education ,DNK,Copenhagen,1,2009-01,2009-Q1,2009,0,0,0,0,"40,000"
 Lifestyle ,USA,Seattle,1,2006-06,2006-Q2,2006,0,0,0,0, -   
 Chat ,IND,Bangalore,1,2012-11,2012-Q4,2012,0,0,0,0, -   
 File Sharing ,SGP,Singapore,1,2012-01,2012-Q1,2012,0,0,0,0, -   
,NOR,Aust-Agder,1,,,,40000,0,0,0,"40,000"
 Curated Web ,,,2,2009-08,2009-Q3,2009,0,0,0,0,"43,811"
 E-Commerce ,USA,"Orange County, California",1,2008-06,2008-Q2,2008,50000,0,0,0,"50,000"
 Video Chat ,USA,Philadelphia,1,2011-02,2011-Q1,2011,0,0,0,0, -   
 Software ,USA,Seattle,1,2010-01,2010-Q1,2010,0,1450000,0,0," 14,50,000 "
 Mobile Health ,,,3,2013-03,2013-Q1,2013,2100000,0,0,0," 21,00,000 "
 E-Commerce ,CHN,Beijing,2,,,,0,4163132,4163132,0," 41,63,132 "
 Mobile Security ,,,1,2013-07,2013-Q3,2013,170000,0,0,0," 1,70,000 "
 Health and Wellness ,USA,SF Bay Area,1,2002-01,2002-Q1,2002,0,30000000,0,0," 3,00,00,000 "
 Social Media ,USA,"Manchester, New Hampshire",1,2011-01,2011-Q1,2011,500000,0,0,0," 5,00,000 "
 Photography ,DEU,Berlin,1,2012-01,2012-Q1,2012,0,0,0,0, -   
 Fitness ,,,1,,,,0,0,0,0," 25,72,969 "
 Sales and Marketing ,,,1,2009-05,2009-Q2,2009,0,0,0,0, -   
,USA,Los Angeles,1,2011-01,2011-Q1,2011,0,0,0,0, -   
 Predictive Analytics ,DEU,Berlin,2,2013-01,2013-Q1,2013,156000,0,0,0," 1,56,000 "
 Manufacturing ,USA,Houston,1,2011-10,2011-Q4,2011,0,30000,0,0,"30,000"
,USA,Shreveport,1,2012-08,2012-Q3,2012,0,0,0,0, -   
 Financial Services ,USA,Miami,1,2007-01,2007-Q1,2007,0,0,0,0," 1,00,00,000 "
 E-Commerce ,USA,New York City,4,2001-01,2001-Q1,2001,0,57000000,0,0," 11,70,00,000 "
 E-Commerce ,USA,"Albany, New York",1,2009-08,2009-Q3,2009,0,0,0,0," 7,50,000 "
,USA,Asheville,1,2014-09,2014-Q3,2014,0,0,0,0, -   
 Enterprise Software ,USA,SF Bay Area,2,2011-12,2011-Q4,2011,0,1500000,1500000,0," 15,00,000 "
 Games ,FRA,Paris,1,2000-10,2000-Q4,2000,0,1660000,1660000,0," 16,60,000 "
,,,1,2011-01,2011-Q1,2011,41250,0,0,0,"41,250"
,BEL,BEL - Other,1,2010-01,2010-Q1,2010,204189,0,0,0," 2,04,189 "
 Biotechnology ,USA,"Washington, D.C.",1,2000-05,2000-Q2,2000,0,150000,0,0," 1,50,000 "
 News ,USA,Atlanta,5,2008-01,2008-Q1,2008,0,35700000,2500000,0," 4,10,00,000 "
 Mobile ,IRL,IRL - Other,1,2006-09,2006-Q3,2006,0,29750000,0,0," 2,97,50,000 "
 Curated Web ,ITA,Roncade,3,2012-01,2012-Q1,2012,1236454,0,0,0," 12,36,454 "
 Art ,USA,New York City,2,2007-09,2007-Q3,2007,0,2800000,2800000,0," 28,00,000 "
 Manufacturing ,CHN,Beijing,1,2004-01,2004-Q1,2004,0,0,0,0," 14,64,128 "
 E-Commerce ,IND,New Delhi,1,2012-06,2012-Q2,2012,0,6369507,0,0," 63,69,507 "
 Big Data ,USA,SF Bay Area,1,2013-01,2013-Q1,2013,0,5050000,0,0," 50,50,000 "
 Software ,SWE,Stockholm,1,,,,0,2580000,0,0," 25,80,000 "
 Health and Wellness ,USA,Fort Myers,1,,,,0,0,0,0," 32,50,00,000 "
 Software ,CHN,Beijing,2,2009-10,2009-Q4,2009,0,0,0,0," 10,00,00,000 "
 Biotechnology ,USA,NY - Other,6,1998-01,1998-Q1,1998,0,12528500,2428500,0," 1,50,34,750 "
 Software ,ISR,Tel Aviv,1,2010-01,2010-Q1,2010,250000,0,0,0," 2,50,000 "
 Software ,CHN,Shanghai,2,2005-09,2005-Q3,2005,0,0,0,0," 16,10,541 "
 Mobile ,SGP,Singapore,1,2009-02,2009-Q1,2009,0,615000,615000,0," 6,15,000 "
 Biotechnology ,USA,SF Bay Area,6,2006-04,2006-Q2,2006,0,110549900,9000000,12600000," 11,19,49,900 "
 Blogging Platforms ,CAN,Toronto,1,2011-06,2011-Q2,2011,50000,0,0,0,"50,000"
 Sports ,USA,Florida's Space Coast,1,2014-07,2014-Q3,2014,0,0,0,0, -   
 News ,SWE,Stockholm,2,,,,0,1024250,0,0," 12,09,701 "
 Real Estate ,,,2,,,,0,0,0,0, -   
 Finance ,USA,Los Angeles,3,,,,0,3452941,0,0," 34,52,941 "
 Hardware + Software ,USA,New York City,1,,,,600000,0,0,0," 6,00,000 "
,USA,Los Angeles,1,2007-01,2007-Q1,2007,0,500000,0,500000," 5,00,000 "
 Social Fundraising ,USA,Chicago,1,2007-08,2007-Q3,2007,400000,0,0,0," 4,00,000 "
,FRA,Paris,1,2006-01,2006-Q1,2006,0,0,0,0, -   
 Clean Technology ,USA,Salisbury,1,2010-01,2010-Q1,2010,0,16000000,16000000,0," 1,60,00,000 "
 Software ,USA,"Rochester, New York",1,2010-01,2010-Q1,2010,50000,0,0,0,"50,000"
 Software ,ESP,Madrid,1,2010-08,2010-Q3,2010,0,0,0,0, -   
 Services ,CHN,CHN - Other,2,,,,0,1692088,1692088,0," 18,56,561 "
 Education ,IND,Bangalore,1,2001-01,2001-Q1,2001,0,4000000,0,0," 40,00,000 "
 Software ,USA,Indianapolis,1,2012-01,2012-Q1,2012,200000,0,0,0," 2,00,000 "
 Software ,,,1,,,,25000,0,0,0,"25,000"
 Software ,CHN,Beijing,1,2004-01,2004-Q1,2004,0,2000000,0,0," 20,00,000 "
 Tourism ,USA,SF Bay Area,1,2011-01,2011-Q1,2011,0,0,0,0, -   
 E-Commerce ,USA,Denver,1,2012-07,2012-Q3,2012,118000,0,0,0," 1,18,000 "
 Software ,,,2,,,,0,0,0,0," 2,50,000 "
 Software ,USA,SF Bay Area,1,2008-01,2008-Q1,2008,0,5844811,0,0," 58,44,811 "
,,,1,,,,0,0,0,0, -   
 Outsourcing ,USA,Los Angeles,1,2006-09,2006-Q3,2006,0,0,0,0, -   
,ISR,Tel Aviv,1,2009-01,2009-Q1,2009,1000000,0,0,0," 10,00,000 "
 Software ,THA,Bangkok,3,2003-01,2003-Q1,2003,0,3000000,1000000,2000000," 30,00,000 "
 Mobile ,RUS,Moscow,2,2012-04,2012-Q2,2012,0,7000000,2000000,5000000," 70,00,000 "
 Software ,CAN,Toronto,1,2008-01,2008-Q1,2008,0,6785876,0,0," 67,85,876 "
 E-Commerce ,USA,"Columbus, Ohio",1,,,,0,60000000,60000000,0," 6,00,00,000 "
 Software ,,,1,2008-10,2008-Q4,2008,0,0,0,0, -   
 Software ,AUS,Brisbane,2,2010-07,2010-Q3,2010,0,0,0,0," 3,83,000 "
 Hardware + Software ,USA,Chicago,3,,,,0,2500000,0,0," 29,41,000 "
 Mobile ,NZL,Auckland,1,2009-01,2009-Q1,2009,0,0,0,0," 16,50,00,000 "
 Clean Technology ,GBR,Warrington,4,,,,0,0,0,0," 4,74,116 "
 Software ,USA,SF Bay Area,1,2011-12,2011-Q4,2011,0,0,0,0," 2,50,000 "
 E-Commerce ,CHN,Shanghai,2,,,,0,0,0,0, -   
 Software ,USA,Dallas,1,2008-01,2008-Q1,2008,0,0,0,0," 2,75,000 "
,FRA,Paris,1,2010-01,2010-Q1,2010,33457,0,0,0,"33,457"
 Curated Web ,BEL,Brussels,2,2011-05,2011-Q2,2011,106626,860102,860102,0," 9,66,728 "
 Software ,USA,Cedar Rapids,1,1998-02,1998-Q1,1998,0,0,0,0," 8,50,00,000 "
 Corporate IT ,USA,Seattle,4,2010-01,2010-Q1,2010,0,37644420,0,0," 3,76,44,420 "
,USA,SF Bay Area,1,2004-01,2004-Q1,2004,0,20000,0,0,"20,000"
 Mobile Social ,USA,VT - Other,1,2011-12,2011-Q4,2011,58000,0,0,0,"58,000"
 Advertising ,USA,Sacramento,1,2013-09,2013-Q3,2013,0,0,0,0,"6,000"
 Curated Web ,,,1,2007-09,2007-Q3,2007,0,0,0,0, -   
 Messaging ,USA,Chicago,1,,,,0,939000,0,0," 9,39,000 "
 Hospitality ,,,1,2011-02,2011-Q1,2011,0,0,0,0, -   
 Art ,AUS,Sydney,2,2004-05,2004-Q2,2004,100000,0,0,0," 3,00,000 "
 Software ,USA,Baltimore,6,2008-01,2008-Q1,2008,2275000,93600000,10000000,20000000," 9,58,75,000 "
 Navigation ,CAN,Vancouver,1,2012-01,2012-Q1,2012,0,80000,0,0,"80,000"
 Software ,,,1,,,,0,0,0,0, -   
 Software ,ISR,Tel Aviv,1,,,,0,0,0,0, -   
,USA,Anaheim,1,1984-01,1984-Q1,1984,0,0,0,0, -   
,USA,Las Vegas,1,2012-12,2012-Q4,2012,0,0,0,0, -   
 Biotechnology ,USA,SF Bay Area,4,2007-03,2007-Q1,2007,0,78089000,0,30000000," 7,80,89,000 "
 Photography ,USA,Newark,1,2013-04,2013-Q2,2013,25000,0,0,0,"25,000"
 Transportation ,USA,Denver,1,2013-09,2013-Q3,2013,0,0,0,0, -   
 Finance ,USA,Chicago,1,2013-01,2013-Q1,2013,0,0,0,0," 5,00,000 "
 Wine And Spirits ,GBR,London,1,2012-07,2012-Q3,2012,0,2274716,0,2274716," 22,74,716 "
 News ,USA,Philadelphia,1,2010-09,2010-Q3,2010,0,0,0,0, -   
 Advertising ,USA,New York City,5,2007-09,2007-Q3,2007,750000,24904560,1284560,9000000," 2,56,54,560 "
 Maps ,CZE,Prague,1,2007-01,2007-Q1,2007,0,0,0,0, -   
 Consumer Electronics ,USA,Pittsburgh,1,1998-01,1998-Q1,1998,0,17800000,0,17800000," 1,78,00,000 "
 Life Sciences ,CHN,Shanghai,1,2000-01,2000-Q1,2000,0,5000000,0,0," 50,00,000 "
 Biotechnology ,USA,Atlanta,2,2005-01,2005-Q1,2005,0,1000000,1000000,0," 10,00,000 "
 Software ,CAN,Toronto,1,2008-01,2008-Q1,2008,0,7650000,0,0," 76,50,000 "
 Corporate Training ,FRA,Paris,1,2010-01,2010-Q1,2010,1543920,0,0,0," 15,43,920 "
 Artificial Intelligence ,CAN,Ottawa,2,2007-07,2007-Q3,2007,0,4100000,0,0," 41,00,000 "
 Enterprise Software ,CHN,CHN - Other,1,,,,0,1623640,1623640,0," 16,23,640 "
 Finance ,DEU,Frankfurt,1,2000-01,2000-Q1,2000,0,0,0,0, -   
 Services ,USA,SF Bay Area,1,2012-01,2012-Q1,2012,0,16000000,0,16000000," 1,60,00,000 "
 Entertainment ,AUS,Sydney,1,2013-01,2013-Q1,2013,0,0,0,0, -   
 Finance ,,,1,,,,0,0,0,0, -   
 Software ,USA,Detroit,1,2009-08,2009-Q3,2009,0,0,0,0, -   
 Fashion ,ESP,ESP - Other,2,2011-12,2011-Q4,2011,73047,0,0,0,"73,047"
 Mobile ,,,1,2006-01,2006-Q1,2006,0,0,0,0," 22,03,975 "
 Sports ,ISR,Tel Aviv,2,2008-01,2008-Q1,2008,0,6700000,1200000,5500000," 67,00,000 "
 Enterprise Software ,CHN,Hangzhou,1,,,,0,0,0,0, -   
